# time(ps) Num_water
10 0
20 1
30 4
40 11
50 16
60 18
70 19
80 20
90 20
100 20
110 22
120 20
130 20
140 20
150 21
160 20
170 21
180 21
190 20
200 20
210 21
220 21
230 20
240 20
250 22
260 18
270 20
280 19
290 21
300 20
310 20
320 20
330 21
340 20
350 20
360 21
370 21
380 19
390 21
400 20
410 20
420 20
430 20
440 20
450 22
460 20
470 20
480 21
490 20
500 20
510 20
520 20
530 20
540 21
550 21
560 20
570 21
580 20
590 20
600 23
610 20
620 20
630 20
640 20
650 19
660 19
670 20
680 21
690 22
700 21
710 22
720 21
730 21
740 20
750 20
760 20
770 21
780 20
790 22
800 21
810 20
820 19
830 20
840 22
850 21
860 20
870 20
880 21
890 20
900 21
910 20
920 20
930 20
940 21
950 20
960 20
970 21
980 20
990 20
1000 20
