# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 2
80 1 2
90 1 2
100 1 2
110 1 2
120 1 2
130 2 2
140 2 2
150 4 2
160 4 2
170 4 2
180 4 3
190 4 3
200 4 3
210 4 3
220 4 3
230 4 3
240 4 3
250 4 3
260 4 3
270 4 3
280 4 4
290 5 4
300 6 6
310 7 6
320 7 7
330 7 7
340 7 7
350 8 7
360 9 7
370 9 7
380 9 7
390 9 7
400 9 7
410 9 7
420 9 7
430 9 7
440 9 7
450 9 7
460 9 7
470 9 8
480 9 9
490 9 9
500 9 9
510 9 9
520 9 9
530 9 9
540 9 9
550 9 9
560 9 10
570 9 10
580 9 10
590 9 10
600 9 10
610 9 10
620 9 10
630 9 11
640 9 11
650 9 12
660 9 14
670 9 14
680 9 14
690 10 14
700 11 15
710 11 15
720 11 16
730 11 16
740 12 16
750 14 16
760 14 16
770 14 16
780 14 16
790 14 16
800 14 17
810 14 18
820 14 18
830 14 18
840 15 18
850 15 18
860 16 18
870 17 18
880 17 18
890 17 18
900 17 18
910 17 18
920 17 18
930 17 19
940 17 19
950 17 19
960 17 20
970 17 20
980 17 20
990 17 21
1000 17 21
