# frame +z -z 
1 0 0
2 0 0
3 0 0
4 0 0
5 0 0
6 0 0
7 0 0
8 0 0
9 0 0
10 0 0
11 0 2
12 0 5
13 0 10
14 0 10
15 0 13
16 0 17
17 0 18
18 0 23
19 0 25
20 0 28
21 0 30
22 0 32
23 0 36
24 0 38
25 0 38
26 0 40
27 0 43
28 0 44
29 0 48
30 0 49
31 0 50
32 0 50
33 0 54
34 0 57
35 0 59
36 0 62
37 0 65
38 0 66
39 0 69
40 0 71
41 0 73
42 0 76
43 0 80
44 0 80
45 0 82
46 0 84
47 0 86
48 0 89
49 0 90
50 0 94
51 0 96
52 0 99
53 0 101
54 0 102
55 0 106
56 0 107
57 0 108
58 0 110
59 0 112
60 0 115
61 0 116
62 0 118
63 0 120
64 0 124
65 0 128
66 0 130
67 0 133
68 0 134
69 0 138
70 0 143
71 0 144
72 0 145
73 0 146
74 0 151
75 0 154
76 0 156
77 0 156
78 0 159
79 0 162
80 0 167
81 0 168
82 0 170
83 0 174
84 0 175
85 0 177
86 0 179
87 0 182
88 0 184
89 0 187
90 0 189
91 0 191
92 0 192
93 0 194
94 0 197
95 0 199
96 0 201
97 0 204
98 0 208
99 0 210
100 0 213
101 0 215
102 0 217
103 0 220
104 0 222
105 0 224
106 0 227
107 0 229
108 0 230
109 0 233
110 0 237
111 0 237
112 0 240
113 0 243
114 0 243
115 0 246
116 0 249
117 0 252
118 0 253
119 0 256
120 0 258
121 0 259
122 0 261
123 0 265
124 0 266
125 0 267
126 0 268
127 0 270
128 0 272
129 0 275
130 0 276
131 0 278
132 0 280
133 0 284
134 0 285
135 0 285
136 0 289
137 0 289
138 0 292
139 0 294
140 0 296
141 0 300
142 0 303
143 0 304
144 0 307
145 0 309
146 0 313
147 0 318
148 0 321
149 0 321
150 0 323
151 0 326
152 0 328
153 0 329
154 0 332
155 0 333
156 0 337
157 0 341
158 0 345
159 0 349
160 0 350
161 0 352
162 0 354
163 0 358
164 0 360
165 0 361
166 0 365
167 0 368
168 0 370
169 0 371
170 0 373
171 0 376
172 0 377
173 0 381
174 0 385
175 0 387
176 0 391
177 0 392
178 0 395
179 0 398
180 0 402
181 0 404
182 0 406
183 0 410
184 0 412
185 0 416
186 0 418
187 0 421
188 0 424
189 0 428
190 0 429
191 0 431
192 0 436
193 0 438
194 0 440
195 0 441
196 0 445
197 0 447
198 0 450
199 0 452
200 0 455
